h,0,totalCurrent,gyro,motorSpeedLeft,motorSpeedRight,motorRoller,batteryVoltage,pdpTemp,accelX,accelY,accelZ,current1,current2,current3,current14,current15
d,661,1779500.0,1779500.0,1779500.0,1779500.0,1779500.0,1779500.0,1779500.0,1779500.0,1779500.0,1779500.0,1779500.0,1779500.0,1779500.0,1779500.0,1779500.0
d,662,1781939.0,1781941.0,1781942.0,1781942.0,1781942.0,1781942.0,1781943.0,1781943.0,1781943.0,1781943.0,1781944.0,1781944.0,1781944.0,1781944.0,1781945.0
d,663,1784863.0,1784865.0,1784865.0,1784866.0,1784866.0,1784866.0,1784867.0,1784867.0,1784867.0,1784867.0,1784868.0,1784868.0,1784868.0,1784868.0,1784869.0
d,664,1787740.0,1787742.0,1787743.0,1787743.0,1787743.0,1787744.0,1787744.0,1787744.0,1787744.0,1787745.0,1787745.0,1787745.0,1787745.0,1787746.0,1787746.0
d,665,1790662.0,1790663.0,1790664.0,1790664.0,1790665.0,1790665.0,1790665.0,1790665.0,1790666.0,1790666.0,1790666.0,1790666.0,1790667.0,1790667.0,1790667.0
d,666,1793711.0,1793711.0,1793711.0,1793711.0,1793711.0,1793711.0,1793711.0,1793711.0,1793711.0,1793711.0,1793711.0,1793711.0,1793711.0,1793711.0,1793711.0
d,667,1795904.0,1795904.0,1795904.0,1795904.0,1795904.0,1795904.0,1795904.0,1795904.0,1795904.0,1795904.0,1795904.0,1795904.0,1795904.0,1795904.0,1795904.0
d,668,1799080.0,1799083.0,1799084.0,1799084.0,1799085.0,1799085.0,1799085.0,1799085.0,1799086.0,1799086.0,1799086.0,1799087.0,1799087.0,1799087.0,1799087.0
d,669,1802238.0,1802239.0,1802240.0,1802240.0,1802241.0,1802241.0,1802241.0,1802242.0,1802242.0,1802242.0,1802242.0,1802243.0,1802243.0,1802243.0,1802243.0
d,670,1805218.0,1805218.0,1805218.0,1805218.0,1805218.0,1805218.0,1805218.0,1805218.0,1805218.0,1805218.0,1805218.0,1805218.0,1805218.0,1805218.0,1805218.0
d,671,1807796.0,1807798.0,1807799.0,1807799.0,1807800.0,1807800.0,1807800.0,1807800.0,1807801.0,1807801.0,1807801.0,1807802.0,1807802.0,1807802.0,1807802.0
d,672,1810349.0,1810349.0,1810349.0,1810349.0,1810349.0,1810349.0,1810349.0,1810349.0,1810349.0,1810349.0,1810349.0,1810349.0,1810349.0,1810349.0,1810349.0
d,673,1813091.0,1813091.0,1813091.0,1813091.0,1813091.0,1813091.0,1813091.0,1813091.0,1813091.0,1813091.0,1813091.0,1813091.0,1813091.0,1813091.0,1813091.0
d,674,1815429.0,1815429.0,1815430.0,1815430.0,1815430.0,1815430.0,1815430.0,1815430.0,1815430.0,1815430.0,1815430.0,1815431.0,1815431.0,1815431.0,1815431.0
d,675,1818529.0,1818529.0,1818529.0,1818529.0,1818529.0,1818529.0,1818529.0,1818529.0,1818530.0,1818530.0,1818530.0,1818530.0,1818530.0,1818530.0,1818530.0
d,676,1821339.0,1821339.0,1821340.0,1821341.0,1821341.0,1821341.0,1821341.0,1821341.0,1821341.0,1821341.0,1821341.0,1821341.0,1821341.0,1821341.0,1821341.0
d,677,1823543.0,1823544.0,1823545.0,1823545.0,1823545.0,1823545.0,1823545.0,1823545.0,1823545.0,1823545.0,1823545.0,1823545.0,1823545.0,1823545.0,1823545.0
d,678,1826374.0,1826375.0,1826376.0,1826376.0,1826376.0,1826376.0,1826376.0,1826376.0,1826376.0,1826376.0,1826376.0,1826376.0,1826376.0,1826376.0,1826376.0
d,679,1830408.0,1830408.0,1830408.0,1830408.0,1830408.0,1830408.0,1830408.0,1830408.0,1830408.0,1830408.0,1830408.0,1830408.0,1830408.0,1830408.0,1830408.0
d,680,1834437.0,1834437.0,1834438.0,1834438.0,1834438.0,1834438.0,1834438.0,1834438.0,1834438.0,1834438.0,1834438.0,1834438.0,1834438.0,1834438.0,1834438.0
d,681,1838376.0,1838376.0,1838377.0,1838377.0,1838377.0,1838377.0,1838377.0,1838377.0,1838377.0,1838377.0,1838377.0,1838377.0,1838377.0,1838377.0,1838377.0
d,682,1843203.0,1843204.0,1843204.0,1843204.0,1843204.0,1843204.0,1843204.0,1843204.0,1843205.0,1843205.0,1843205.0,1843205.0,1843205.0,1843205.0,1843205.0
d,683,1847385.0,1847386.0,1847387.0,1847387.0,1847387.0,1847387.0,1847387.0,1847387.0,1847387.0,1847387.0,1847387.0,1847387.0,1847387.0,1847387.0,1847387.0
d,684,1852251.0,1852251.0,1852252.0,1852252.0,1852252.0,1852252.0,1852252.0,1852252.0,1852252.0,1852253.0,1852253.0,1852253.0,1852253.0,1852253.0,1852253.0
d,685,1857247.0,1857247.0,1857248.0,1857248.0,1857248.0,1857248.0,1857248.0,1857248.0,1857248.0,1857248.0,1857248.0,1857248.0,1857248.0,1857248.0,1857248.0
d,686,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0
d,687,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0
d,688,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0
d,689,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0
d,690,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0
d,691,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0,1860821.0
d,692,1864113.0,1864113.0,1864113.0,1864113.0,1864113.0,1864113.0,1864113.0,1864113.0,1864113.0,1864113.0,1864113.0,1864113.0,1864113.0,1864113.0,1864113.0
d,693,1867506.0,1867508.0,1867508.0,1867509.0,1867509.0,1867509.0,1867509.0,1867509.0,1867509.0,1867509.0,1867509.0,1867509.0,1867509.0,1867509.0,1867509.0
d,694,1868851.0,1868852.0,1868852.0,1868852.0,1868852.0,1868852.0,1868852.0,1868852.0,1868853.0,1868853.0,1868853.0,1868853.0,1868853.0,1868853.0,1868853.0
d,695,1871894.0,1871895.0,1871896.0,1871896.0,1871896.0,1871896.0,1871896.0,1871896.0,1871897.0,1871897.0,1871897.0,1871897.0,1871897.0,1871897.0,1871897.0
d,696,1874654.0,1874654.0,1874654.0,1874654.0,1874654.0,1874654.0,1874654.0,1874654.0,1874654.0,1874654.0,1874654.0,1874654.0,1874654.0,1874654.0,1874654.0
d,697,1877633.0,1877634.0,1877634.0,1877634.0,1877634.0,1877634.0,1877634.0,1877634.0,1877634.0,1877634.0,1877634.0,1877634.0,1877634.0,1877634.0,1877634.0
d,698,1880735.0,1880736.0,1880736.0,1880736.0,1880736.0,1880736.0,1880736.0,1880736.0,1880737.0,1880737.0,1880737.0,1880737.0,1880737.0,1880737.0,1880737.0
d,699,1883180.0,1883181.0,1883181.0,1883181.0,1883181.0,1883182.0,1883182.0,1883182.0,1883182.0,1883182.0,1883182.0,1883182.0,1883182.0,1883182.0,1883182.0
d,701,1888798.0,1888798.0,1888798.0,1888798.0,1888798.0,1888798.0,1888798.0,1888798.0,1888798.0,1888798.0,1888798.0,1888798.0,1888798.0,1888798.0,1888798.0
d,702,1891417.0,1891417.0,1891417.0,1891417.0,1891417.0,1891417.0,1891417.0,1891417.0,1891417.0,1891417.0,1891417.0,1891417.0,1891417.0,1891417.0,1891417.0
d,703,1894442.0,1894442.0,1894442.0,1894442.0,1894442.0,1894442.0,1894442.0,1894442.0,1894442.0,1894442.0,1894442.0,1894442.0,1894442.0,1894442.0,1894442.0
d,704,1897031.0,1897031.0,1897031.0,1897031.0,1897031.0,1897031.0,1897031.0,1897031.0,1897031.0,1897031.0,1897031.0,1897031.0,1897031.0,1897031.0,1897031.0
d,705,1900052.0,1900052.0,1900053.0,1900053.0,1900053.0,1900053.0,1900053.0,1900053.0,1900053.0,1900053.0,1900053.0,1900053.0,1900053.0,1900053.0,1900053.0
d,706,1902193.0,1902194.0,1902194.0,1902194.0,1902194.0,1902195.0,1902195.0,1902195.0,1902195.0,1902195.0,1902195.0,1902195.0,1902195.0,1902195.0,1902195.0
d,707,1904626.0,1904626.0,1904626.0,1904626.0,1904626.0,1904626.0,1904626.0,1904626.0,1904627.0,1904627.0,1904627.0,1904627.0,1904627.0,1904627.0,1904627.0
d,708,1907634.0,1907634.0,1907634.0,1907634.0,1907634.0,1907634.0,1907634.0,1907634.0,1907634.0,1907634.0,1907634.0,1907634.0,1907634.0,1907634.0,1907634.0
d,709,1909910.0,1909910.0,1909910.0,1909910.0,1909910.0,1909910.0,1909910.0,1909910.0,1909910.0,1909910.0,1909910.0,1909910.0,1909910.0,1909910.0,1909910.0
d,710,1912245.0,1912245.0,1912245.0,1912245.0,1912246.0,1912246.0,1912246.0,1912246.0,1912246.0,1912246.0,1912246.0,1912246.0,1912246.0,1912246.0,1912246.0
d,711,1914967.0,1914967.0,1914968.0,1914968.0,1914968.0,1914968.0,1914968.0,1914968.0,1914968.0,1914968.0,1914968.0,1914968.0,1914968.0,1914968.0,1914968.0
d,712,1918301.0,1918301.0,1918302.0,1918302.0,1918302.0,1918302.0,1918302.0,1918302.0,1918302.0,1918302.0,1918302.0,1918302.0,1918302.0,1918302.0,1918302.0
d,713,1920586.0,1920586.0,1920587.0,1920587.0,1920587.0,1920587.0,1920587.0,1920587.0,1920587.0,1920587.0,1920588.0,1920588.0,1920588.0,1920588.0,1920588.0
d,714,1923622.0,1923622.0,1923623.0,1923623.0,1923623.0,1923623.0,1923623.0,1923625.0,1923625.0,1923625.0,1923625.0,1923625.0,1923625.0,1923625.0,1923625.0
d,715,1926410.0,1926411.0,1926411.0,1926411.0,1926411.0,1926411.0,1926411.0,1926411.0,1926411.0,1926411.0,1926411.0,1926411.0,1926411.0,1926412.0,1926412.0
d,716,1928769.0,1928770.0,1928771.0,1928771.0,1928771.0,1928771.0,1928771.0,1928771.0,1928771.0,1928771.0,1928771.0,1928771.0,1928771.0,1928771.0,1928771.0
d,717,1931497.0,1931497.0,1931498.0,1931498.0,1931498.0,1931498.0,1931498.0,1931498.0,1931498.0,1931498.0,1931498.0,1931498.0,1931498.0,1931498.0,1931498.0
d,718,1934639.0,1934639.0,1934639.0,1934639.0,1934639.0,1934639.0,1934639.0,1934639.0,1934639.0,1934639.0,1934639.0,1934639.0,1934639.0,1934639.0,1934639.0
d,719,1937482.0,1937485.0,1937486.0,1937486.0,1937486.0,1937486.0,1937486.0,1937486.0,1937486.0,1937486.0,1937486.0,1937486.0,1937486.0,1937486.0,1937486.0
d,720,1940154.0,1940154.0,1940154.0,1940154.0,1940154.0,1940154.0,1940154.0,1940154.0,1940154.0,1940154.0,1940154.0,1940154.0,1940154.0,1940154.0,1940154.0
